lintang_selatan,bujur_timur,wilayah,kecamatan,nama_lokasi,Besi,E_Coli,IP,Krom_heks,Mangan,Nitrat,Nitrit,Organik,Surfaktan,Total_colif,Warna
-6.267783,106.812798,Jakarta Selatan,Kebayoran Baru,Senayan,0.015,0,4.13252118,0.0015,0.91,0.3,0.005,3.08,0.03,0,1
-6.269,106.837,Jakarta Selatan,Pasar Minggu,Pejaten Barat,0.015,500,23.07697636,0.0015,0.015,7.1,0.005,2.03,0.03,1500,1
-6.269778,106.775833,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,0.015,0,3.489574093,0.0015,0.6,0.27,0.005,2.03,0.03,0,1
-6.270611,106.793968,Jakarta Selatan,Cilandak,Gandaria Selatan,0.04,0,2.082683255,0.0015,0.24,12.7,0.01,2.03,0.03,0,2
-6.272858,106.76416,Jakarta Selatan,Pesanggrahan,Bintaro,0.07,0,3.782024713,0.0015,0.72,18.9,0.02,2.03,0.08,0,1
-6.274039,106.79863,Jakarta Selatan,Cilandak,Cipete Selatan,0.04,0,21.52152725,0.0015,0.06,1.3,0.005,2.03,0.04,700,3
-6.2774,106.8717,Jakarta Utara,Kramatjati,Kramatjati,0.02,0,20.65797439,0.0015,0.08,9,0.01,2.03,0.03,400,1
-6.2805,106.8765,Jakarta Utara,Makasar,Makasar,0.015,0,0.26138879,0.0015,0.03,6.6,0.01,2.03,0.09,0,1
-6.28175,106.85028,Jakarta Utara,Kramatjati,Balekambang,0.015,0,0.544482176,0.0015,0.04,14.8,0.01,2.52,0.06,0,1
-6.28296,106.8589,Jakarta Utara,Kramatjati,Batu Ampar,0.25,0,2.315510985,0.0015,0.2,0.3,0.01,2.03,0.07,0,27
-6.283306,106.791946,Jakarta Selatan,Cilandak,Cilandak Barat,0.015,100,24.43926481,0.0015,0.15,13.6,0.02,2.03,0.06,3700,1
-6.285,106.834,Jakarta Selatan,Pasar Minggu,Jati Padang,0.04,100,21.34652242,0.0015,0.04,4.8,0.005,2.03,0.03,500,5
-6.285,106.84,Jakarta Selatan,Pasar Minggu,Pasar Minggu,0.015,0,0.688738339,0.0015,0.04,18.9,0.005,2.03,0.06,0,1
-6.2876,106.8813,Jakarta Utara,Makasar,Pinang Ranti,3.8,0,5.387997189,0.0015,0.4,0.27,0.005,2.65,0.03,0,45
-6.2901,106.8644,Jakarta Utara,Kramatjati,Tengah,0.015,0,0.742234963,0.0015,0.02,0.3,0.01,2.03,0.03,0,1
-6.2924,106.8761,Jakarta Utara,Kramatjati,Dukuh,0.015,0,18.5541959,0.0015,0.54,11.4,0.01,2.03,0.06,100,1
-6.294,106.845,Jakarta Selatan,Pasar Minggu,Pejaten Timur,0.015,100,20.5503241,0.0015,0.015,16.5,0.005,2.03,0.03,300,1
-6.301,106.865,Jakarta Timur,Pasar Rebo,Gedong,0.02,0,21.5317379,0.0015,0.14,7.8,0.01,2.03,0.16,700,1
-6.302028,106.872192,Jakarta Timur,Ciracas,Rambutan,7.59,0,18.81391605,0.0015,0.66,0.27,0.03,2.03,0.17,100,626
-6.3045,106.784416,Jakarta Selatan,Cilandak,Lebak Bulus,0.015,6100,25.83498978,0.0015,0.015,7.5,0.01,2.03,0.04,8500,3
-6.305,106.819,Jakarta Selatan,Pasar Minggu,Ragunan,0.015,0,18.65200033,0.0015,23,7.2,0.005,2.03,0.18,100,2
-6.305711,106.907028,Jakarta Timur,Cipayung,Bambu Apus,0.08,0,18.50919603,0.0015,0.015,2.9,0.005,2.03,0.03,100,1
-6.306333,106.789531,Jakarta Selatan,Cilandak,Pondok Labu,0.04,0,0.306544045,0.0015,0.04,4.3,0.01,2.03,0.48,0,2
-6.306972,106.810692,Jakarta Selatan,Pasar Minggu,Cilandak Timur,0.1,0,18.5152033,0.0015,0.015,0.27,0.01,2.03,0.33,100,7
-6.309303,106.914948,Jakarta Timur,Cipayung,Setu,0.015,0,0.578719985,0.0015,0.015,15.9,0.005,2.03,0.19,0,1
-6.312944,106.874832,Jakarta Timur,Ciracas,Susukan,0.03,1400,25.41852756,0.0015,0.015,2.5,0.01,2.03,0.15,6700,7
-6.314347,106.889488,Jakarta Timur,Cipayung,Ceger,0.015,0,0.207673905,0.0015,0.015,5.5,0.005,2.03,0.2,0,1
-6.319,106.825,Jakarta Selatan,Pasar Minggu,Kebagusan,0.14,0,1.88369066,0.0015,0.21,11.2,0.02,2.03,0.42,0,4
-6.323,106.851,Jakarta Utara,Kramatjati,Baru,0.015,0,20.21271243,0.0015,0.015,13.3,0.01,2.03,0.03,300,1
-6.324,106.862,Jakarta Timur,Pasar Rebo,Cijantung,0.015,0,18.52322106,0.0015,0.015,23.8,0.01,2.03,0.06,100,1
-6.324075,106.836914,Jakarta Selatan,Jagakarsa,Lenteng Agung,0.04,0,1.641481299,0.0015,0.18,15,0.005,2.03,0.08,0,2
-6.324567,106.89975,Jakarta Timur,Cipayung,Cipayung,1.16,0,21.37026733,0.0015,0.1,0.27,0.005,2.03,0.36,600,38
-6.328411,106.82254,Jakarta Selatan,Jagakarsa,Jagakarsa,0.03,0,1.631544365,0.0015,0.18,8.4,0.005,2.03,0.04,0,1
-6.328425,106.877693,Jakarta Timur,Ciracas,Ciracas,0.03,0,0.334667765,0.0015,0.04,8.8,0.005,2.03,0.17,0,1
-6.333589,106.903236,Jakarta Timur,Cipayung,Cilangkap,0.015,0,3.20936099,0.0015,0.5,10.4,0.005,2.03,0.13,0,1
-6.337,106.855,Jakarta Timur,Pasar Rebo,Kalisari,0.02,0,1.717105241,0.0015,0.19,12.7,0.01,2.03,0.13,0,1
-6.338081,106.810379,Jakarta Selatan,Jagakarsa,Ciganjur,3.26,0,6.193824216,0.0015,0.21,1.6,0.01,2.03,0.05,0,317
-6.338772,106.882416,Jakarta Timur,Ciracas,Kelapa Dua Wetan,0.53,100,22.31706678,0.0015,0.13,5.1,0.005,2.03,0.2,900,8
-6.343,106.861,Jakarta Timur,Pasar Rebo,Pekayon,0.015,0,1.134485671,0.0015,0.13,11.9,0.01,2.03,0.22,0,1
-6.344897,106.802467,Jakarta Selatan,Jagakarsa,Cipedak,0.04,0,21.51724682,0.0015,0.03,5.4,0.005,2.03,0.05,700,2
-6.3455,106.831001,Jakarta Selatan,Jagakarsa,Srengseng Sawah,0.03,100,22.05103,0.0015,0.015,4.3,0.005,2.03,0.06,800,2
-6.347692,106.914703,Jakarta Timur,Cipayung,Pondok Rangon,0.015,0,18.50595233,0.0015,0.015,3.1,0.005,2.03,0.1,100,1
-6.348503,106.894096,Jakarta Timur,Cipayung,Lubang Buaya,0.04,0,0.311171649,0.0015,0.015,1.1,0.01,2.03,0.32,0,1
-6.35,106.876,Jakarta Timur,Ciracas,Cibubur,0.015,0,1.87489897,0.0015,0.21,15.3,0.01,2.03,0.18,0,1
-6.39433,106.850327,Jakarta Selatan,Jagakarsa,Tanjung Barat,0.015,0,0.363388251,0.0015,0.02,9.8,0.005,2.03,0.03,0,1
-6.482808333,106.8254306,Jakarta Selatan,Setiabudi,Karet,0.015,0,18.51106731,0.0015,0.015,9.2,0.005,2.03,0.03,100,1
-617525,106.9511111,Jakarta Timur,Cakung,Cakung Timur 3,0.38,0,3.906028275,0.003,0.12,0.3,0.07,16.76,0.04,0,35
6.215944,106.954529,Jakarta Timur,Cakung,Pulogebang,0.02,700,22.61853491,0.0015,0.02,12.3,0.01,2.03,0.07,1100,1
N/A,N/A,Jakarta Selatan,Pancoran,Cikoko,0.015,0,0.60022001,0.0015,0.015,15.8,0.005,NA,NA,0,1
